"","p-value"
"0.904",0.03209
"0.905",0.03209
"0.906",0.03209
"0.907",0.02888
"0.908",0.02888
"0.909",0.02888
"0.91",0.02888
"0.911",0.02781
"0.912",0.02674
"0.913",0.02567
"0.914",0.02567
"0.915",0.02567
"0.916",0.02567
"0.917",0.02567
"0.918",0.02567
"0.919",0.02567
"0.92",0.0246
"0.921",0.0246
"0.922",0.02353
"0.923",0.02246
"0.924",0.02139
"0.925",0.02139
"0.926",0.02139
"0.927",0.01925
"0.928",0.01925
"0.929",0.01925
"0.93",0.01818
"0.931",0.01818
"0.932",0.01818
"0.933",0.01818
"0.934",0.01818
"0.935",0.01818
"0.936",0.01818
"0.937",0.01818
"0.938",0.01818
"0.939",0.01604
"0.94",0.01604
"0.941",0.01604
"0.942",0.01604
"0.943",0.01604
"0.944",0.01604
"0.945",0.01497
"0.946",0.01497
"0.947",0.01283
"0.948",0.01283
"0.949",0.0107
"0.95",0.0107
"0.951",0.0107
"0.952",0.0107
"0.953",0.0107
"0.954",0.00963
"0.955",0.00963
"0.956",0.00963
"0.957",0.00963
"0.958",0.00856
"0.959",0.00856
"0.96",0.00856
"0.961",0.00856
"0.962",0.00856
"0.963",0.00856
"0.964",0.00856
"0.965",0.00856
"0.966",0.00856
"0.967",0.00856
"0.968",0.00856
"0.969",0.00856
"0.97",0.00749
"0.971",0.00642
"0.972",0.00642
"0.973",0.00535
"0.974",0.00535
"0.975",0.00535
"0.976",0.00535
"0.977",0.00535
"0.978",0.00535
"0.979",0.00535
"0.98",0.00535
"0.981",0.00535
"0.982",0.00428
"0.983",0.00428
"0.984",0.00321
"0.985",0.00321
"0.986",0.00321
"0.987",0.00321
"0.988",0.00321
"0.989",0.00321
"0.99",0.00321
"0.991",0.00214
"0.992",0.00214
"0.993",0.00214
"0.994",0.00214
"0.995",0.00214
"0.996",0.00214
"0.997",0.00107
"0.998",0.00107
"0.999",0.00107
"1",0
